,size,total_sqft,bath,price
0,2,1056.0,2.0,39.07
1,3,1440.0,2.0,62.0
2,3,1521.0,3.0,95.0
3,2,1200.0,2.0,51.0
4,2,1170.0,2.0,38.0
5,3,1310.0,3.0,63.25
6,3,1800.0,2.0,70.0
7,2,1000.0,2.0,38.0
8,2,1100.0,2.0,40.0
9,3,2250.0,3.0,148.0
10,2,1175.0,2.0,73.5
11,3,1180.0,3.0,48.0
12,3,1540.0,3.0,60.0
13,2,1100.0,2.0,48.0
14,3,1755.0,3.0,122.0
15,3,1767.0,3.0,103.0
16,3,1250.0,3.0,56.0
17,2,660.0,1.0,23.1
18,3,1610.0,3.0,81.0
19,2,1151.0,2.0,48.77
20,3,1025.0,2.0,47.0
21,3,1075.0,2.0,35.0
22,3,1760.0,2.0,123.0
23,3,1693.0,3.0,57.39
24,3,1925.0,3.0,125.0
25,2,700.0,2.0,36.0
26,2,1070.0,2.0,45.5
27,3,1724.0,3.0,125.0
28,3,1290.0,2.0,56.12
29,2,1143.0,2.0,45.0
30,2,1296.0,2.0,81.0
31,3,1254.0,3.0,38.0
32,2,1330.74,2.0,91.79
33,2,970.0,2.0,33.0
34,2,1459.0,2.0,94.82
35,2,869.0,2.0,36.0
36,2,1270.0,2.0,50.0
37,3,1670.0,3.0,99.0
38,3,2010.0,3.0,91.0
39,2,1185.0,2.0,75.0
40,3,1600.0,2.0,75.0
41,2,1200.0,2.0,44.0
42,2,840.0,2.0,45.0
43,3,4395.0,3.0,240.0
44,2,845.0,2.0,55.0
45,2,1160.0,2.0,44.0
46,2,1100.0,2.0,62.0
47,2,1140.0,2.0,43.0
48,2,1220.0,2.0,57.0
49,2,1005.0,2.0,36.68
50,2,1358.0,2.0,80.58
51,3,1569.0,3.0,101.0
52,2,1240.0,2.0,70.0
53,3,2089.0,3.0,140.0
54,2,1206.0,2.0,48.23
55,2,1150.0,2.0,40.0
56,3,2511.0,3.0,205.0
57,3,1660.0,2.0,105.0
58,2,1326.0,2.0,78.0
59,3,1325.0,2.0,60.8
60,3,1499.0,5.0,102.0
61,3,1665.0,3.0,88.0
62,2,708.0,2.0,37.0
63,2,1060.0,2.0,58.06
64,2,1000.0,2.0,70.0
65,2,1000.0,2.0,28.88
66,3,1450.0,2.0,70.0
67,2,1296.0,2.0,80.0
68,3,1540.0,3.0,90.0
69,3,1330.0,2.0,48.0
70,2,1200.0,2.0,65.0
71,3,1200.0,3.0,90.0
72,3,2502.0,3.0,138.0
73,2,650.0,1.0,17.0
74,3,2400.0,2.0,150.0
75,2,1007.0,2.0,43.0
76,2,1200.0,2.0,50.0
77,2,966.0,2.0,49.9
78,3,1630.0,2.0,98.0
79,2,782.0,2.0,55.68
80,2,1260.0,2.0,66.78
81,3,1800.0,3.0,120.0
82,3,1413.0,2.0,75.0
83,2,1116.0,2.0,51.91
84,3,1530.0,2.0,45.9
85,3,2497.0,3.0,140.0
86,3,1540.0,2.0,64.0
87,3,1436.0,3.0,74.75
88,2,1100.0,2.0,75.0
89,3,1427.0,3.0,120.0
90,3,2061.0,3.0,200.0
91,3,1282.0,2.0,68.52
92,2,1050.0,2.0,34.0
93,3,1600.0,3.0,65.0
94,2,945.0,2.0,54.0
95,2,1500.0,2.0,78.0
96,3,1870.0,3.0,110.0
97,3,1600.0,3.0,75.0
98,3,1535.0,3.0,83.0
99,2,950.0,2.0,57.0
100,2,1360.0,2.0,65.0
101,2,1073.5,2.0,54.005
102,3,1280.0,3.0,50.4
103,3,1260.0,2.0,85.05
104,3,1563.05,3.0,105.0
105,2,1000.0,2.0,60.0
106,2,1167.0,2.0,43.76
107,3,1828.0,3.0,110.0
108,2,890.0,2.0,35.0
109,3,1612.0,3.0,46.74
110,3,1710.0,4.0,91.31
111,2,957.0,2.0,58.0
112,3,1250.0,2.0,44.0
113,3,2795.0,4.0,235.0
114,2,1125.0,2.0,50.0
115,2,1020.0,2.0,30.6
116,2,1200.0,2.0,50.0
117,3,1735.0,3.0,135.0
118,3,2050.0,3.0,145.0
119,3,1350.0,2.0,48.0
120,2,1063.0,2.0,32.0
121,3,1904.0,3.0,150.0
122,3,2000.0,3.0,175.0
123,2,1242.5,2.0,43.49
124,3,1425.0,2.0,75.0
125,3,1500.0,2.0,64.5
126,2,1060.0,2.0,60.0
127,3,1470.0,2.0,70.0
128,2,1152.0,2.0,64.5
129,3,1350.0,2.0,56.0
130,3,1550.0,3.0,65.0
131,3,1500.0,3.0,100.0
132,2,770.0,1.0,36.0
133,2,1242.0,2.0,51.0
134,3,1700.0,3.0,155.0
135,3,2144.0,3.0,145.0
136,3,1704.0,3.0,110.0
137,2,1070.0,2.0,52.0
138,2,1340.0,2.0,55.7
139,2,1025.0,2.0,46.0
140,2,1277.5,2.0,56.8
141,2,1200.0,2.0,52.0
142,3,1550.0,2.0,80.0
143,2,1200.0,2.0,60.0
144,2,1327.0,2.0,98.0
145,2,1186.0,2.0,58.0
146,3,1783.0,3.0,115.0
147,3,1400.0,3.0,56.0
148,2,980.0,2.0,48.0
149,2,1285.0,2.0,82.0
150,3,912.0,2.0,70.0
151,2,1225.0,2.0,47.6
152,2,1075.0,2.0,53.0
153,3,1260.0,2.0,54.0
154,3,1282.0,2.0,48.7
155,3,1909.0,3.0,88.0
156,2,1359.0,2.0,87.0
157,2,1207.0,2.0,43.5
158,3,1595.0,3.0,65.0
159,3,1798.0,3.0,89.0
160,3,1475.0,3.0,78.29
161,3,1580.0,3.0,100.0
162,2,1295.0,2.0,65.0
163,3,1415.0,3.0,78.0
164,3,1787.0,3.0,98.29
165,3,1787.0,3.0,125.0
166,3,1475.0,2.0,90.0
167,2,984.0,2.0,44.28
168,3,1630.0,2.0,74.82
169,2,1080.0,2.0,72.0
170,2,1500.0,2.0,115.0
